title,synopsis,image_url,score,genres,trailer_url,watch_link
Taishou Roman,Music video for the song Taishou Roman by YOASOBI.,https://cdn.myanimelist.net/images/anime/1325/118472.jpg,6.88,['Romance'],,https://myanimelist.net/anime/49830/Taishou_Roman
Shining☆Romance,"A music video for the theme song of the mobile game ""Utapri Shining Live"", performed by ST☆RISH.",https://cdn.myanimelist.net/images/anime/9/88668.jpg,6.5,[],,https://myanimelist.net/anime/36684/Shining☆Romance
One Piece: Romance Dawn Story,"The Straw Hat Pirates, searching for the great passage ""Grand Line"", are in trouble when their food runs out! Luffy, searching for food on his own, finds a ship belonging to the pirate, Gally, and takes it over!! He lands at a nearby town...

Luffy was attacked by a young girl, Silk, who mistook him for a member of the other pirate gang. As the two eat a meal, they tell their stories. Meanwhile, Gally and his band are burning with anger at Luffy, demanding payment from the town's defenseless citizens...!!

(Source: Jumpland)",https://cdn.myanimelist.net/images/anime/1400/138596.jpg,7.33,"['Action', 'Adventure', 'Fantasy']",,https://myanimelist.net/anime/5252/One_Piece__Romance_Dawn_Story
Kowloon Generic Romance,"With its flickering streetlights, moldy back alleys, and noisy populace, the Second Kowloon Walled City, despite the squalor of its already-demolished predecessor, evokes a special kind of nostalgia that its residents find endearing. Amidst the walls of this fading yet beloved landscape lives Reiko Kujirai, a 32-year-old realtor deeply in love with her coworker, Hajime Kudou, who is two years her junior. Though they have their differences, the two get along well enough to experience the joys of the walled city together.

However, everything starts to fall apart when Kudou, half-asleep, suddenly kisses Kujirai—seemingly reciprocating the feelings she has yet to confess. But when Kudou explains that he had mistaken her for someone else, Kujirai finds herself drawn into a series of events that lead her to a past she cannot remember.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1719/150050.jpg,7.4,"['Mystery', 'Romance', 'Sci-Fi']",https://www.youtube.com/watch?v=wIrH_z2TLqQ,https://myanimelist.net/anime/60083/Kowloon_Generic_Romance
Romance wa Tsurugi no Kagayaki II,"Keith is an honorable thief, but also a descendant of the legendary Shadow Blade. Employed as a guide for a sultry seductress - he finds himself soon wrapped up in much more than he bargained for. A one-night stand turns into the resurrection ritual for a demon?! He's really got his work cut out for him...

(Source: AnimeOnDVD)",https://cdn.myanimelist.net/images/anime/4/25118.jpg,6.06,"['Action', 'Comedy', 'Fantasy', 'Hentai']",,https://myanimelist.net/anime/3300/Romance_wa_Tsurugi_no_Kagayaki_II
Original Video Romance Animation,"One of the first erotic OVA. Released in 1984 by the company Let's, the characters from this animation have the names of famous Japanese Pop singers of the 1980s: Seiko Matsuda (Vol. 1) and Akina Nakamori (Vol. 2).",https://cdn.myanimelist.net/images/anime/1468/123678.jpg,4.68,"['Comedy', 'Hentai']",,https://myanimelist.net/anime/12397/Original_Video_Romance_Animation
Kien Romance,"Music video for the song Kien Romance by Akari Nanawo.
The song is used as the opening for Edomae Elf.",https://cdn.myanimelist.net/images/anime/1424/135659.jpg,6.9,[],,https://myanimelist.net/anime/55183/Kien_Romance
Tooi-san wa Seishun Shitai! Baka to Smartphone to Romance to,"Tooi, an ordinary high school girl, was expecting a normal school life—until everything changed on her very first day.

After catching the attention of the unpredictable and overly energetic classmate Jel, she's suddenly roped into the mysterious ""Youth Romance Club,"" a bizarre school group dedicated to chasing down anything that feels ""youthful"" or ""romantic.""

What should've been a carefree club quickly spirals into chaotic antics, with Tooi constantly playing the straight man to everyone's nonsense. To make things even wilder, the club's antics start getting streamed online!

Between laughter, unexpected twists, and even a mysterious incident, this unpredictable school life is just getting started.

(Source: MAL News)",https://cdn.myanimelist.net/images/anime/1199/150750.jpg,,['Comedy'],https://www.youtube.com/watch?v=dfMWNiTi2UM,https://myanimelist.net/anime/61367/Tooi-san_wa_Seishun_Shitai_Baka_to_Smartphone_to_Romance_to
Eikoku Koi Monogatari Emma,"Emma has been a maid for most of her life. Working for a retired governess—the strict but compassionate Kelly Stownar—Emma has grown to love her work and has long since accepted her place in society. Beautiful, hardworking, and exceptionally kind, Emma has captured the hearts of many of London's working men—but their feelings always remain unrequited. Emma is waiting for love, and she finds it in the most unlikely of places.

William is the eldest son of the wealthy Jones household—a family that has only recently been accepted into the gentry, securing their position in high society. He is also the former ward of Mrs. Stownar, and on his first visit in years, he falls madly in love with her maid. His earnest attempts to win her affection, coupled with his good nature and warm personality, have captured Emma's heart.

But the polite society of 19th century England does not take kindly to the rejection of tradition. As a result, Emma and William's relationship could not face more opposition. In a world where the class lines are as strongly defended as the borders of nations, does their love have the strength to survive?

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/5/80117.jpg,7.61,"['Drama', 'Romance']",https://www.youtube.com/watch?v=-8kjRKD7CDc,https://myanimelist.net/anime/345/Eikoku_Koi_Monogatari_Emma
Eikoku Koi Monogatari Emma: Molders-hen,"In the faraway village of Haworth, a new chapter in Emma's life has begun. Now employed by the wealthy Molders family, Emma has resolved to put the past behind her. She'll have to adjust to a new house, a charming (but eccentric) new mistress, and a host of fellow servants, some with buried pasts of their own.

Meanwhile, back in London, William is doing his best to uphold his father's wishes as the Jones family heir, but try as he might, he can't forget Emma. Yet, whenever he feels at his worst, Eleanor is always there to comfort him with a warm, shy smile. Could the answer to his broken heart be right before his eyes?

(Source: RightStuf)",https://cdn.myanimelist.net/images/anime/6/80118.jpg,7.8,"['Drama', 'Romance']",https://www.youtube.com/watch?v=UT3GZKRbpx8,https://myanimelist.net/anime/2035/Eikoku_Koi_Monogatari_Emma__Molders-hen
Eikoku Koi Monogatari Emma: Intermission,This special is a recap of the first season of Eikoku Koi Monogatari Emma: Intermission as well as a preview of the second season Eikoku Koi Monogatari Emma: Molders Hen.,https://cdn.myanimelist.net/images/anime/8/3091.jpg,7.01,"['Drama', 'Romance']",,https://myanimelist.net/anime/2517/Eikoku_Koi_Monogatari_Emma__Intermission
Houkago Renai Club: Koi no Étude,Based on an adult game by Libido.,https://cdn.myanimelist.net/images/anime/6/53469.jpg,5.03,['Hentai'],,https://myanimelist.net/anime/4818/Houkago_Renai_Club__Koi_no_Étude
One Piece Recap,A recap OVA summarizing the ten-year TV series up to the Impel Down arc.,https://cdn.myanimelist.net/images/anime/9/20706.jpg,7.14,"['Action', 'Adventure', 'Fantasy']",,https://myanimelist.net/anime/8171/One_Piece_Recap
